日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,2029,盛餘,21.4,2.8,114,17.83,0.67,2026Q2
20260813,2030,彰源,21.75,2.3,114,11.1,1.13,2026Q2
20260813,2031,新光鋼,45.95,5.44,114,7.11,1.23,2026Q2
20260813,2032,新鋼,17.2,2.91,114,11.78,1.24,2026Q2
20260813,2034,允強,20.05,4.99,114,47.74,1.18,2026Q2
20260813,2049,上銀,381.0,0.52,114,57.73,3.44,2026Q2
20260813,2059,川湖,12235.0,0.42,114,67.45,34.54,2026Q2
20260813,2062,橋椿,18.65,5.36,114,66.61,0.49,2026Q2
20260813,2069,運錩,20.2,4.95,114,7.89,0.76,2026Q2
20260813,2072,世紀風電,151.5,4.67,114,10.26,1.2,2026Q2
20260813,2101,南港,34.25,2.04,114,11.05,1.84,2026Q1
20260813,2103,台橡,28.1,0.96,114,11.29,1.05,2026Q2
20260813,2105,正新,30.7,5.86,114,16.87,1.14,2026Q2
20260813,2106,建大,17.6,3.69,114,103.53,0.86,2026Q1
20260813,2107,厚生,25.6,5.47,114,13.54,0.51,2026Q2
20260813,2108,南帝,30.3,3.3,114,17.02,1.01,2026Q2
20260813,2109,華豐,14.75,6.78,114,10.69,1.16,2026Q2
20260813,2114,鑫永銓,88.3,5.66,114,14.08,2.28,2026Q2
20260813,2115,六暉-KY,23.0,6.52,114,18.11,0.72,2026Q1
20260813,2201,裕隆,28.7,1.95,114,32.25,0.47,2026Q2
20260813,2204,中華,51.2,7.03,114,8.34,0.74,2026Q2
20260813,2206,三陽工業,60.9,5.02,114,10.74,1.72,2026Q1
20260813,2207,和泰車,524.0,3.82,114,12.89,3.41,2026Q2
20260813,2211,長榮鋼,85.3,7.62,114,10.43,1.31,2026Q1
20260813,2228,劍麟,75.2,5.98,114,17.61,1.15,2026Q1
20260813,2233,宇隆,203.5,1.97,114,32.46,3.07,2026Q1
20260813,2247,汎德永業,224.5,6.46,114,16.2,1.42,2026Q2
20260813,2248,華勝-KY,57.7,5.39,114,9.75,1.53,2026Q1
20260813,2250,IKKA-KY,60.0,5.0,114,22.99,1.08,2026Q2
20260813,2301,光寶科,269.5,1.86,114,31.52,6.38,2026Q2
20260813,2302,麗正,45.2,0.77,114,42.24,4.09,2026Q2
20260813,2303,聯電,124.5,2.1,114,18.72,3.52,2026Q2
20260813,2308,台達電,1885.0,0.62,114,59.99,16.67,2026Q2
20260813,2312,金寶,33.15,1.81,114,31.88,2.22,2026Q1
20260813,2313,華通,212.0,1.32,114,34.14,5.2,2026Q2
20260813,2316,楠梓電,164.0,1.22,114,11.46,2.06,2026Q2
20260813,2317,鴻海,262.0,2.74,114,18.61,2.06,2026Q1
20260813,2323,中環,10.3,1.94,114,4.72,0.6,2026Q1
20260813,2324,仁寶,39.3,2.8,114,29.55,1.31,2026Q1
20260813,2327,國巨*,662.0,0.91,114,52.13,8.16,2026Q1
20260813,2328,廣宇,46.3,1.94,114,107.67,1.64,2026Q2
20260813,2329,華泰,44.6,2.24,114,19.91,1.79,2026Q2
20260813,2330,台積電,2435.0,0.9,114,32.74,10.72,2026Q1
20260813,2344,華邦電,177.0,0.28,114,19.51,4.83,2026Q2
