資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140204,4556,旭然,451.43,0.35,1.11,1.6,113Q3
1140204,4558,寶緯,188.24,0.0,0.0,1.77,113Q3
1140204,4561,健椿,16.66,1.0,1.63,2.61,113Q3
1140204,4563,百德,24.42,0.534,0.67,2.71,113Q3
1140204,4568,科際精密,21.79,2.5,4.9,1.48,113Q3
1140204,4580,捷流閥業,12.01,4.79830887,5.22,1.66,113Q3
1140204,4584,君帆,16.45,2.0,3.23,1.87,113Q3
1140204,4702,中美實,25.85,0.0,0.0,0.72,113Q3
1140204,4706,大恭,39.02,0.2,0.63,1.68,113Q3
1140204,4707,磐亞,15.68,0.9,6.52,0.88,113Q3
1140204,4714,永捷,74.29,0.0,0.0,1.26,113Q3
1140204,4716,大立,18.14,0.0,0.0,1.47,113Q3
1140204,4721,美琪瑪,21.22,1.1,1.81,3.57,113Q3
1140204,4728,雙美,21.36,11.0,4.01,10.92,113Q3
1140204,4729,熒茂,1175.0,0.5,2.13,1.64,113Q3
1140204,4735,豪展,66.75,1.0,2.63,1.53,113Q3
1140204,4741,泓瀚,17.33,1.8,5.14,1.25,113Q3
1140204,4744,皇將,105.0,0.1,0.45,1.06,113Q3
1140204,4747,強生,38.96,1.49839697,2.11,1.89,113Q3
1140204,4749,新應材,89.57,2.79422791,0.42,19.7,113Q3
1140204,4754,國碳科,14.23,1.8,4.44,2.46,113Q3
1140204,4760,勤凱,23.51,2.7,2.44,3.8,113Q3
1140204,4767,誠泰科技,11.4,1.5,4.49,1.11,113Q3
1140204,4768,晶呈科技,64.58,4.0,2.35,4.71,113Q3
1140204,4772,台特化,101.03,1.0,0.41,11.64,113Q3
1140204,4903,聯光通,35.57,0.0,0.0,3.49,113Q3
1140204,4905,台聯電,37.99,1.5,1.94,0.8,113Q3
1140204,4907,富宇,8.33,1.3,1.97,3.12,113Q3
1140204,4908,前鼎,36.63,2.4,2.63,4.4,113Q3
1140204,4909,新復興,11.82,0.5,0.51,2.96,113Q3
1140204,4911,德英,35.5,1.170686,2.18,3.94,113Q3
1140204,4931,新盛力,25.51,0.8,1.19,3.91,113Q3
1140204,4933,友輝,12.93,2.977099,3.9,1.74,113Q3
1140204,4939,亞電,61.88,0.5,2.53,1.25,113Q3
1140204,4945,陞達科技,27.7,2.0,2.87,3.13,113Q3
1140204,4951,精拓科,16.32,2.5,3.74,2.66,113Q3
1140204,4953,緯軟,14.7,4.95741414,4.27,2.24,113Q3
1140204,4966,譜瑞-KY,22.73,12.76692735,1.79,2.63,113Q3
1140204,4972,湯石照明,35.56,0.7,2.77,0.9,113Q3
1140204,4973,廣穎,10.8,2.0,6.34,0.93,113Q3
1140204,4974,亞泰,17.12,4.2,3.96,2.4,113Q3
1140204,4979,華星光,58.66,1.43000433,0.64,9.92,113Q3
1140204,4987,科誠,15.08,3.5,3.91,2.47,113Q3
1140204,4995,晶達,14.54,3.19969628,4.69,2.97,113Q3
1140204,5009,榮剛,9.99,2.5,5.13,1.55,113Q3
1140204,5011,久陽,13.71,1.0,4.96,0.89,113Q3
1140204,5013,強新,17.84,0.9,2.99,1.09,113Q3
1140204,5014,建錩,39.19,1.0,6.9,0.86,113Q3
1140204,5015,華祺,84.07,3.0,8.3,1.68,113Q3
1140204,5016,松和,17.19,0.7,2.55,0.93,113Q3
1140204,5201,凱衛,30.09,1.5,4.66,2.44,113Q3
1140204,5202,力新,6.95,0.7,2.66,1.82,113Q3
1140204,5206,坤悅,10.82,1.3,3.19,1.98,113Q3
1140204,5209,新鼎,12.05,10.51163408,6.26,5.1,113Q3
1140204,5212,凌網,15.15,3.0,4.93,4.07,113Q3
1140204,5213,亞昕,34.78,0.50548665,1.63,1.53,113Q3
1140204,5220,萬達光電,56.08,0.9,4.34,1.05,113Q3
1140204,5230,雷笛克光學,31.78,0.51682237,2.14,0.96,113Q3
1140204,5236,凌陽創新,17.79,7.0,4.73,3.49,113Q3
1140204,5274,信驊,64.39,20.0,0.61,26.43,113Q3
1140204,5276,達輝-KY,90.71,0.6,3.15,1.49,113Q3
1140204,5278,尚凡*,46.73,12.77456623,3.64,19.36,113Q3
1140204,5287,數字,15.21,10.73850488,5.84,5.21,113Q3
1140204,5289,宜鼎,16.07,10.4,5.39,2.45,113Q3
1140204,5291,邑昇,125.26,0.8,3.36,1.02,113Q3
1140204,5299,杰力,18.09,4.11,4.68,1.41,113Q3
1140204,5309,系統電,52.89,0.69998896,1.74,2.56,113Q3
1140204,5310,天剛,15.75,0.0,0.0,5.41,113Q3
1140204,5312,寶島科,14.82,6.0,4.88,2.23,113Q3
1140204,5314,世紀,83.5,1.8,0.21,39.61,113Q3
1140204,5315,光聯,26.73,0.8,3.99,1.29,113Q3
1140204,5324,士開,128.33,0.0,0.0,1.87,113Q3
1140204,5328,華容,108.57,0.35,2.3,1.35,113Q3
1140204,5340,建榮,65.27,0.0,0.0,3.43,113Q3
1140204,5344,立衛,24.14,0.0,0.0,2.54,113Q3
1140204,5347,世界,18.98,4.5,5.12,3.27,113Q3
1140204,5353,台林,17.35,1.42,4.42,1.79,113Q3
1140204,5356,協益,4.32,2.3,7.71,0.67,113Q3
1140204,5371,中光電,34.76,3.0,3.8,1.26,113Q3
1140204,5381,合正,54.05,0.0,0.0,3.23,113Q3
1140204,5386,青雲,30.85,1.3,1.71,4.27,113Q3
1140204,5392,能率,540.83,0.3,0.92,0.94,113Q3
1140204,5403,中菲,17.94,6.00078664,4.73,4.02,113Q3
1140204,5410,國眾,17.46,2.06146392,6.83,1.98,113Q3
1140204,5425,台半,32.97,2.0,3.91,1.65,113Q3
1140204,5426,振發,62.95,0.0,0.0,1.81,113Q3
1140204,5432,新門,100.8,1.0,0.79,6.75,113Q3
1140204,5438,東友,100.65,0.5,2.16,0.91,113Q3
1140204,5439,高技,33.59,4.1,3.78,4.28,113Q3
1140204,5443,均豪,41.97,1.2,1.28,2.13,113Q3
1140204,5450,南良,23.27,0.24997755,1.43,1.21,113Q3
1140204,5452,佶優,107.88,0.15,0.53,1.94,113Q3
1140204,5455,昇益,11.01,0.0,0.0,4.16,113Q3
1140204,5457,宣德,26.79,0.31944492,0.65,1.82,113Q3
1140204,5465,富驊,21.82,1.5,3.97,2.32,113Q3
1140204,5474,聰泰,31.88,3.5,1.74,4.3,113Q3
1140204,5478,智冠,16.6,9.0,7.56,1.85,113Q3
1140204,5483,中美晶,9.34,8.8,7.75,1.37,113Q3
1140204,5489,彩富,49.06,1.02028666,2.6,1.76,113Q3
1140204,5493,三聯,12.86,3.1,4.18,1.74,113Q3
1140204,5508,永信建,6.38,11.2912,8.89,3.51,113Q3
1140204,5511,德昌,8.11,5.0,8.1,1.19,113Q3
1140204,5512,力麒,80.83,0.54,5.57,0.54,113Q3
1140204,5514,三豐,98.5,0.5,2.54,1.43,113Q3
1140204,5520,力泰,9.47,4.6,5.58,1.93,113Q3
1140204,5523,豐謙,20.37,1.5,5.01,1.54,113Q3
1140204,5530,龍巖,18.92,0.0,0.0,0.87,113Q3
1140204,5536,聖暉*,24.75,10.5,1.19,5.16,113Q3
1140204,5548,安倉,13.28,1.5,5.54,1.67,113Q3
1140204,5601,台聯櫃,89.38,0.385,1.08,1.68,113Q3
1140204,5603,陸海,14.13,1.2,4.77,1.36,113Q3
1140204,5604,中連,16.8,2.0,4.76,2.04,113Q3
1140204,5609,中菲行,12.31,6.0,7.57,1.92,113Q3
1140204,5703,亞都,76.25,0.0,0.0,2.76,113Q3
1140204,5704,老爺知,15.05,1.5,4.49,2.3,113Q3
1140204,5864,致和證,4.46,1.5,10.64,0.76,113Q3
1140204,5878,台名,19.58,2.5,5.41,2.14,113Q3
1140204,5902,德記,18.67,1.5,3.75,3.14,113Q3
1140204,5903,全家,11.29,5.8,3.07,4.38,113Q3
1140204,5904,寶雅,18.31,21.1,4.42,7.83,113Q3
1140204,6015,宏遠證,10.69,0.25,2.29,0.78,113Q3
1140204,6016,康和證,9.73,1.15,8.04,0.92,113Q3
1140204,6020,大展證,20.6,0.89916258,4.74,1.01,113Q3
1140204,6021,美好證,28.24,0.6,2.5,0.95,113Q3
1140204,6023,元大期,12.16,5.0,5.85,1.62,113Q3
1140204,6026,福邦證,8.59,1.28,10.49,0.86,113Q3
1140204,6101,寬魚國際,120.78,0.168,0.43,3.83,113Q3
1140204,6103,合邦,152.74,0.0,0.0,5.01,113Q3
1140204,6104,創惟,78.6,1.8,1.07,8.33,113Q3
1140204,6118,建達,29.28,0.0,0.0,1.89,113Q3
1140204,6121,新普,12.5,21.7,6.08,1.81,113Q3
1140204,6122,擎邦,9.92,3.7,7.13,2.33,113Q3
1140204,6123,上奇,16.69,4.0,7.16,2.37,113Q3
1140204,6125,廣運,63.44,1.7,2.09,4.62,113Q3
1140204,6126,信音,26.52,1.08097786,4.0,0.97,113Q3
1140204,6138,茂達,18.29,5.96965123,3.49,3.72,113Q3
1140204,6140,訊達,35.71,0.75,2.5,2.49,113Q3
1140204,6143,振曜,20.66,4.0,3.27,3.59,113Q3
1140204,6146,耕興,15.3,10.5,5.47,3.63,113Q3
1140204,6147,頎邦,11.79,3.75,5.98,0.98,113Q3
1140204,6148,驊宏資,19.46,1.2,3.93,2.41,113Q3
1140204,6151,晉倫,24.38,1.5,4.05,2.04,113Q3
1140204,6154,順發,28.98,0.72,4.6,1.0,113Q3
1140204,6156,松上,17.55,0.79869278,3.14,1.15,113Q3
1140204,6158,禾昌,23.93,1.00064551,3.57,1.29,113Q3
1140204,6161,捷波,11.61,2.0,4.63,1.88,113Q3
1140204,6163,華電網,133.44,0.3,1.41,1.28,113Q3
1140204,6167,久正,117.27,0.5,3.88,1.16,113Q3
