,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
231,20240613,2376,技嘉,34.99,2.12,5.06
232,20240613,2377,微星,20.45,2.95,3.2
233,20240613,2379,瑞昱,28.02,2.71,6.18
234,20240613,2382,廣達,24.19,3.17,6.49
235,20240613,2383,台光電,22.24,2.21,5.98
236,20240613,2385,群光,17.78,4.12,3.74
237,20240613,2387,精元,8.04,4.98,1.19
238,20240613,2388,威盛,96.02,0.09,3.91
239,20240613,2392,正崴,14.21,2.64,1.46
240,20240613,2393,億光,19.22,4.22,1.73
241,20240613,2395,研華,31.21,2.65,7.18
242,20240613,2397,友通,29.76,4.0,2.97
243,20240613,2402,毅嘉,20.03,3.46,1.68
244,20240613,2404,漢唐,13.98,5.87,7.02
245,20240613,2405,輔信,167.08,0.85,1.84
246,20240613,2412,中華電,26.74,3.76,2.5
247,20240613,2413,環科,39.58,0.86,1.45
248,20240613,2414,精技,16.09,5.87,1.93
249,20240613,2415,錩新,125.95,2.46,1.47
250,20240613,2417,圓剛,127.0,0.34,2.04
251,20240613,2420,新巨,17.24,4.44,2.66
252,20240613,2421,建準,22.13,3.13,3.99
253,20240613,2423,固緯,14.41,5.1,2.47
254,20240613,2425,承啟,23.13,1.17,1.65
255,20240613,2427,三商電,22.7,2.81,1.99
256,20240613,2428,興勤,16.28,3.05,2.2
257,20240613,2430,燦坤,18.65,6.15,0.96
258,20240613,2432,倚天酷碁-創,19.35,4.26,1.9
259,20240613,2433,互盛電,16.02,5.61,2.25
260,20240613,2436,偉詮電,43.15,1.9,3.1
261,20240613,2439,美律,16.98,3.75,2.24
262,20240613,2441,超豐,16.5,3.99,1.57
263,20240613,2442,新美齊,12.18,1.04,1.79
264,20240613,2449,京元電子,19.25,3.38,2.82
265,20240613,2450,神腦,15.98,5.03,1.7
266,20240613,2451,創見,20.44,4.1,2.9
267,20240613,2453,凌群,22.33,3.85,3.19
268,20240613,2454,聯發科,24.06,3.97,5.98
269,20240613,2455,全新,44.87,1.44,8.67
270,20240613,2458,義隆,18.3,3.17,5.23
271,20240613,2459,敦吉,12.64,5.46,1.51
272,20240613,2461,光群雷,62.75,2.63,1.46
273,20240613,2462,良得電,18.19,3.28,1.66
274,20240613,2464,盟立,71.67,0.78,3.02
275,20240613,2467,志聖,37.96,2.24,5.77
276,20240613,2468,華經,21.86,3.02,1.47
277,20240613,2471,資通,15.63,5.72,2.95
278,20240613,2472,立隆電,13.47,3.45,1.8
279,20240613,2474,可成,12.08,4.39,0.93
280,20240613,2476,鉅祥,25.85,2.34,2.94
281,20240613,2477,美隆電,34.29,2.31,0.85
282,20240613,2478,大毅,18.28,2.83,1.14
283,20240613,2480,敦陽科,17.17,5.29,4.78
284,20240613,2481,強茂,25.73,2.05,1.69
285,20240613,2482,連宇,20.5,2.44,2.32
286,20240613,2483,百容,52.6,1.19,1.09
287,20240613,2484,希華,23.76,4.75,1.23
288,20240613,2486,一詮,155.7,0.53,6.33
289,20240613,2488,漢平,10.37,5.81,1.5
290,20240613,2489,瑞軒,31.05,2.81,1.04
291,20240613,2492,華新科,23.44,1.91,1.12
292,20240613,2493,揚博,15.91,5.34,4.13
293,20240613,2495,普安,25.83,2.51,1.76
294,20240613,2496,卓越,12.24,6.34,1.77
295,20240613,2497,怡利電,28.43,1.72,3.17
296,20240613,2501,國建,14.91,3.02,1.42
297,20240613,2504,國產,16.11,4.38,2.22
298,20240613,2505,國揚,38.19,1.45,1.04
299,20240613,2511,太子,36.32,2.91,0.78
300,20240613,2515,中工,39.15,3.24,1.09
301,20240613,2520,冠德,11.93,3.06,1.61
302,20240613,2527,宏璟,17.99,3.16,0.99
303,20240613,2530,華建,54.0,1.18,3.78
304,20240613,2534,宏盛,58.48,3.72,0.86
305,20240613,2535,達欣工,12.61,5.35,1.71
306,20240613,2536,宏普,36.51,1.43,1.0
307,20240613,2539,櫻花建,33.53,2.77,5.07
308,20240613,2540,愛山林,39.01,2.98,6.64
