公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
6569,醫揚,-,-29.39,123829,49.11,58634,87431,2.14,206826,211260
6574,霈方,-,1.5,70999,3.75,69464,72071,-0.44,143704,143070
6576,逸達,本年營收較去年同期增加百分比達50％以上，係因本公司本年認列授權金收入。,,0,2834.76,2304,67617,723.69,8209,67617
6589,台康生技,-,-42.76,26708,-45.9,28259,15287,-25.58,56437,41995
6612,奈米醫材,-,-33.58,28663,-29.64,27059,19037,-2.71,49029,47700
6615,慧智,-,-22.0,43199,3.4,32583,33694,8.38,70943,76893
6649,台生材,主係108/2醫材快速原型業務出貨量較去年同期減少所致,,0,-100.0,8,0,-100.0,8,0
6661,威健生技,-,21.48,16274,-38.05,31914,19770,-38.5,58614,36044
6662,樂斯科,因取得客戶之儀器設備訂單於2月完成驗收，導致本月營收增加,61.08,23543,186.8,13223,37924,80.46,34061,61467
6703,軒郁,-,-46.49,95339,-2.18,52148,51009,14.19,128154,146348
6712,長聖,不適用,,0,,0,0,,0,0
8279,生展,-,-16.52,88495,30.1,56777,73871,33.86,121289,162366
8403,盛弘,-,-29.73,290685,13.44,180048,204263,22.83,402949,494948
8409,商之器,-,21.49,8049,-9.77,10839,9779,-9.27,19651,17828
8432,東生華,-,-62.65,72657,-22.98,35233,27135,-6.62,106871,99792
8436,大江,業績成長,-9.3,909746,103.33,405765,825069,111.41,820592,1734815
2035,唐榮公司,-,-5.18,893031,-30.18,1212901,846760,-35.62,2702768,1739791
2063,世鎧,-,-42.53,96628,-12.76,63658,55532,2.1,149020,152160
2064,晉椿,-,-45.2,206032,-38.78,184419,112897,-30.8,460894,318929
2065,世豐,-,-23.49,135547,20.72,85898,103702,25.69,190337,239249
5009,榮剛,-,-27.46,959140,-0.39,698457,695674,11.65,1482050,1654814
5011,久陽,-,-26.51,112569,21.11,68299,82717,25.7,155347,195286
5013,強新,-,-43.73,621328,-14.86,410582,349567,-15.95,1155171,970895
5014,建錩,-,-42.01,1291471,-14.76,878614,748882,-9.49,2254473,2040353
5015,華祺,-,-5.48,187624,-1.64,180306,177333,-10.95,409875,364956
5016,松和,-,-34.41,224540,-10.5,164542,147258,-3.4,384897,371798
6248,沛波,客戶增加，買氣增加。,-39.09,286623,71.21,101952,174560,66.28,277345,461183
8349,�矬ㄟ篕�,-,-24.5,895096,-14.48,790265,675760,-11.08,1766792,1570856
8415,大國鋼,-,4.37,1586503,48.9,1112128,1655964,43.11,2265670,3242467
8930,青鋼,-,-34.48,91095,-1.34,60492,59678,-5.14,158954,150772
9962,有益,-,-2.91,163904,-4.82,167186,159127,-14.9,379620,323031
3073,天方能源,-,-9.89,11699,-6.0,11214,10541,14.84,19365,22240
3105,穩懋,-,-12.18,1256976,-20.53,1388961,1103788,-21.85,3021167,2360764
3122,笙泉,-,-40.48,27031,-23.66,21076,16088,-27.18,59221,43119
3141,晶宏,本月營收較去年同期增加，主係產品出貨量穩定成長，及匯率波動影響所致。,-25.6,125795,56.29,59875,93583,22.61,178909,219378
3169,亞信,-,-27.92,63514,26.14,36289,45776,29.08,84668,109290
3227,原相,-,-18.04,350204,-23.88,377101,287022,-30.09,911586,637226
3228,金麗科,-,0.62,20275,-46.07,37832,20401,-33.36,61039,40676
3259,鑫創,-,-38.08,63841,-5.3,41743,39527,25.34,82466,103368
3260,威剛,-,-2.55,2103388,-1.42,2079384,2049729,-12.22,4731329,4153117
3264,欣銓,-,-14.6,613222,-15.64,620792,523644,-11.39,1283003,1136866
3265,台星科,-,3.85,124982,-43.08,228073,129801,-42.45,442788,254783
3268,海德威,-,-34.21,69659,-1.3,46429,45824,6.96,107961,115480
3317,尼克森,-,-21.73,215511,9.75,153670,168668,-0.2,384969,384179
3372,典範,-,-27.6,93678,-30.84,98067,67822,-35.67,251083,161501
